lsoa11cd,pop_adjusted_beds
E01000781,0.199126823
E01000782,0.209585217
E01000783,0.207372576
E01000784,0.160656537
E01000785,0.191435561
E01000786,0.057380901
E01000787,0.081816651
E01000788,0.108034543
E01000789,0.175808443
E01000790,0.086522199
E01000791,0.073124883
E01000792,0.114104766
E01000793,0.073683074
E01000794,0.06439243
E01000795,0.107274536
E01000796,0.315072235
E01000797,0.161156185
E01000798,0.208288535
E01000799,0.193488812
E01000800,0.257923913
E01000801,0.142087727
E01000802,0.175356038
E01000803,0.165343398
E01000804,0.115726463
E01000805,0.132082565
E01000806,0.312932699
E01000807,0.106261993
E01000808,0.086686521
E01000809,0.082466204
E01000810,0.084125479
E01000811,0.139371152
E01000812,0.088826949
E01000813,0.079042609
E01000814,0.088071666
E01000815,0.084231018
E01000816,0.123766937
E01000818,0.100036154
E01000819,0.1633788
E01000820,0.114076455
E01000822,0.173968657
E01000823,0.130522708
E01000824,0.276621339
E01000825,0.132697541
E01000826,0.104426298
E01000827,0.073408649
E01000828,0.093295124
E01000829,0.116656349
E01000830,0.096609198
E01000831,0.087971009
E01000832,0.099862389
E01000833,0.146744142
E01000834,0.141630315
E01000835,0.122036501
E01000836,0.135134186
E01000837,0.107226471
E01000838,0.096532852
E01000839,0.097811483
E01000840,0.063329254
E01000841,0.08649191
E01000842,0.108922467
E01000843,0.146814729
E01000844,0.170713879
E01000845,0.133969879
E01000846,0.140608168
E01000847,0.131265047
E01000848,0.132358085
E01000849,0.139397202
E01000850,0.226993917
E01000851,0.230601038
E01000852,0.240531092
E01000853,0.105575222
E01000854,0.211164951
E01000855,0.149377016
E01000856,0.264759565
E01000857,0.132208147
E01000858,0.175733999
E01000859,0.138864176
E01000860,0.096944854
E01000861,0.231808454
E01000862,0.136734904
E01000863,0.292660922
E01000864,0.214719399
E01000865,0.215062875
E01000866,0.108116612
E01000867,0.225703226
E01000868,0.218786672
E01000869,0.144872243
E01000870,0.171420809
E01000871,0.125044771
E01000872,0.166965951
E01000873,0.134495381
E01000874,0.12183499
E01000875,0.185734932
E01000876,0.165304924
E01000877,0.179761973
E01000878,0.100240935
E01000879,0.15357065
E01000880,0.141958865
E01000881,0.20169511
E01000882,0.135380991
E01000883,0.171152986
E01000884,0.114841283
E01000885,0.089061572
E01000886,0.134619962
E01000887,0.161308839
E01000888,0.143535507
E01000889,0.155471098
E01000890,0.143577455
E01000891,0.159161359
E01000892,0.117219295
E01000893,0.095069786
E01000894,0.121276178
E01000895,0.097799484
E01000896,0.101395168
E01000897,0.108577444
E01000898,0.126131219
E01000899,0.080174804
E01000900,0.147090976
E01000901,0.179174781
E01000902,0.143825978
E01000903,0.111675362
E01000904,0.129669017
E01000905,0.130445834
E01000906,0.155361921
E01000907,0.167266771
E01000908,0.100487254
E01000909,0.079368762
E01000910,0.106555326
E01000911,0.12200917
E01000912,0.124318226
E01000913,0.064558003
E01000914,0.13215383
E01000915,0.183764406
E01000916,0.170087648
E01000917,0.167801755
E01000918,0.149739587
E01000919,0.188746695
E01000920,0.134870545
E01000921,0.203742572
E01000922,0.241425199
E01000923,0.147014211
E01000924,0.171042167
E01000925,0.193240323
E01000926,0.269771195
E01000927,0.133687948
E01000928,0.13420756
E01000929,0.171750849
E01000930,0.078444935
E01000931,0.130182718
E01000932,0.194410524
E01000933,0.133398829
E01000934,0.123748361
E01000935,0.196983765
E01000936,0.213134723
E01000937,0.363295323
E01000938,0.351132126
E01000939,0.28468555
E01000940,0.293818507
E01000941,0.305027509
E01000942,0.241869087
E01000943,0.259498882
E01000944,0.216468893
E01000945,0.309817419
E01000946,0.161463593
E01000947,0.215916416
E01000948,0.131100763
E01000949,0.191531266
E01000950,0.370118204
E01000951,0.228996828
E01000952,0.205422455
E01000953,0.11819105
E01000954,0.213236594
E01000955,0.180074738
E01000956,0.328013789
E01000957,0.213343183
E01000958,0.304060743
E01000959,0.213480858
E01000960,0.157785471
E01000961,0.152653637
E01000962,0.209278012
E01000963,0.099105719
E01000964,0.151749067
E01000965,0.199458338
E01000966,0.17788496
E01000967,0.123405152
E01000968,0.177692537
E01000969,0.145475797
E01000970,0.25098779
E01000971,0.161859619
E01000972,0.109268866
E01000973,0.146575197
E01000974,0.210472656
E01000975,0.238509007
E01000976,0.154041544
E01000977,0.127900572
E01000978,0.163619232
E01000979,0.180786002
E01000980,0.257199848
E01000981,0.184269426
E01000982,0.223307064
E01000983,0.154983362
E01000984,0.111644964
E01000985,0.10852334
E01000986,0.101410186
E01000987,0.128638466
E01000989,0.10364675
E01000990,0.163084795
E01000991,0.072172067
E01000992,0.186312427
E01000993,0.153157027
E01000994,0.175379335
E01000995,0.164135574
E01000996,0.207549596
E01000997,0.157268697
E01000998,0.195176243
E01000999,0.164761222
E01001000,0.249528622
E01001001,0.230467285
E01001002,0.270578592
E01001003,0.180924118
E01001004,0.22621492
E01001005,0.274265335
E01001006,0.361952515
E01001007,0.158429585
E01001008,0.241267632
E01001009,0.217826753
E01001010,0.209985966
E01001011,0.209983623
E01001012,0.232745128
E01001013,0.181194106
E01001014,0.182570537
E01001015,0.154016907
E01001016,0.09667183
E01001017,0.11010462
E01001018,0.102335577
E01001019,0.089456429
E01001020,0.095295468
E01001021,0.127002473
E01001022,0.083015204
E01001023,0.145812296
E01001024,0.146852252
E01001025,0.125641852
E01001026,0.113469605
E01001027,0.122083983
E01001028,0.086522721
E01001029,0.115833092
